Rank	Country	Cost of Living Index	Rent Index	Cost of Living Plus Rent Index	Groceries Index	Restaurant Price Index	Local Purchasing Power Index
33 	South Africa 	37.76 	15.41 	27.32 	30.76 	35.78 	111.44
34 	Kenya 	38.10 	12.03 	25.93 	34.31 	29.45 	33.07
35 	Iran 	38.21 	16.28 	27.97 	32.33 	35.44 	46.70
36 	Peru 	38.36 	15.74 	27.80 	33.62 	26.66 	48.23
37 	Poland 	38.39 	14.79 	27.37 	29.39 	32.67 	75.34
38 	Indonesia 	38.41 	10.68 	25.46 	42.05 	19.29 	33.75
39 	Vietnam 	39.11 	16.34 	28.48 	37.76 	20.47 	24.06
40 	Uzbekistan 	39.80 	12.51 	27.06 	34.85 	29.51 	24.74
41 	Montenegro 	40.28 	10.52 	26.38 	31.25 	37.04 	49.72
42 	Venezuela 	40.34 	7.30 	24.91 	35.96 	43.42 	2.91
