buyonline_label,legal_description,legal_description_numbers,more_link,more_link/_text,more_link/_title,moreoptions_link,moreoptions_link/_text,moreoptions_link/_title,nlpimage_image,nlpimage_image/_alt,price_value,price_value_prices,productdesp_value,productdetails_image,productdetails_image/_alt,productdetails_link,productdetails_link/_text,productdetails_link/_title,productdetails_link_prices,productlink_image,productlink_image/_alt,productlink_link/_text,productlink_link/_title,producttitle_value,regularprice_price,regularprice_price_1,regularprice_price_2,savetolist_label,size_value_1,size_value_1_numbers,size_value_2,size_value_2_numbers,strikeprice_price,strikeprice_value,type,unit_value,unit_value_numbers,unitprice_label,﻿productlink_link
Buy online,,,,,,,,,,,,,"rug, low pile",http://www.ikea.com/ms/en_US/img/icons/new_small.gif,New,http://www.ikea.com/us/en/catalog/products/30310218/,"HAVNSÖ rug, low pile $99.00 Unit price",,99,http://www.ikea.com/PIAimages/0385026_PE559050_S3.JPG,"HAVNSÖ rug, low pile, multicolor Length: 9 ' 10 "" Width: 6 ' 7 "" Area: 64.58 sq feet Length: 300 cm Width: 200 cm Area: 6.00 m²",,,HAVNSÖ,99.0,,,Save to list,"Length: 9 ' 10 "", Width: 6 ' 7 "", Area: 64.58 sq feet",9; 10; 6; 7; 64.58,"Length: 300 cm, Width: 200 cm, Area: 6.00 m²",300; 200; 6,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/30310218/
Buy online,,,,,,,,,,,,,spotlight,,,http://www.ikea.com/us/en/catalog/products/00228507/,ÖSTANÅ spotlight $34.99 Unit price,,34.99,http://www.ikea.com/PIAimages/0210404_PE363804_S3.JPG,"ÖSTANÅ spotlight, white Height: 8 1/4 "" Base diameter: 5 1/2 "" Shade diameter: 2 "" Height: 21 cm Base diameter: 14 cm Shade diameter: 6 cm",,,ÖSTANÅ,34.99,,,Save to list,"Height: 8 1/4 "", Base diameter: 5 1/2 "", Shade diameter: 2 """,8; 5; 2,"Height: 21 cm, Base diameter: 14 cm, Shade diameter: 6 cm",21; 14; 6,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/00228507/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S39031411/,More options,More options for HEJNE 1 section,,,,,1 section,,,http://www.ikea.com/us/en/catalog/products/S39031411/,HEJNE 1 section $34.00 Unit price,,34,http://www.ikea.com/PIAimages/0276435_PE414896_S3.JPG,"HEJNE 1 section, softwood Width: 30 3/4 "" Depth: 12 1/4 "" Height: 67 3/8 "" Width: 78 cm Depth: 31 cm Height: 171 cm",,,HEJNE,,34.0,,Save to list,"Width: 30 3/4 "", Depth: 12 1/4 "", Height: 67 3/8 """,30; 12; 67,"Width: 78 cm, Depth: 31 cm, Height: 171 cm",78; 31; 171,,,shelf,,,Unit price,http://www.ikea.com/us/en/catalog/products/S39031411/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S19006342/,More options,More options for BEKANT desk,,,$179.00 Unit price,179.0,desk,,,http://www.ikea.com/us/en/catalog/products/S19006342/,BEKANT desk $179.00 Unit price,,179,http://www.ikea.com/PIAimages/0250516_PE388784_S3.JPG,"BEKANT desk, white, birch veneer Length: 55 1/8 "" Depth: 23 5/8 "" Min. height: 25 5/8 "" Length: 140 cm Depth: 60 cm Min. height: 65 cm",,,BEKANT,,,,Save to list,"Length: 55 1/8 "", Depth: 23 5/8 "", Min. height: 25 5/8 """,55; 23; 25,"Length: 140 cm, Depth: 60 cm, Min. height: 65 cm",140; 60; 65,,,desk,,,,http://www.ikea.com/us/en/catalog/products/S19006342/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S39006303/,More options,More options for BEKANT conference table,,,$838.00 Unit price,838.0,conference table,,,http://www.ikea.com/us/en/catalog/products/S39006303/,BEKANT conference table $838.00 Unit price,,838,http://www.ikea.com/PIAimages/0250465_PE388825_S3.JPG,"BEKANT conference table, black, birch veneer Length: 165 3/8 "" Width: 55 1/8 "" Height: 28 3/4 "" Length: 420 cm Width: 140 cm Height: 73 cm",,,BEKANT,,,,Save to list,"Length: 165 3/8 "", Width: 55 1/8 "", Height: 28 3/4 """,165; 55; 28,"Length: 420 cm, Width: 140 cm, Height: 73 cm",420; 140; 73,,,desk,,,,http://www.ikea.com/us/en/catalog/products/S39006303/
Buy online,,,,,,,,,,,,,recessed spotlight,,,http://www.ikea.com/us/en/catalog/products/40283064/,KILINGE recessed spotlight $5.99 Unit price,,5.99,http://www.ikea.com/PIAimages/0372144_PE552901_S3.JPG,"KILINGE recessed spotlight, white, indoor/outdoor Cut-out diameter: 3 "" Max. diameter: 4 "" Height: 6 "" Cut-out diameter: 7.6 cm Max. diameter: 9 cm Height: 14 cm",,,KILINGE,5.99,,,Save to list,"Cut-out diameter: 3 "", Max. diameter: 4 "", Height: 6 """,3; 4; 6,"Cut-out diameter: 7.6 cm, Max. diameter: 9 cm, Height: 14 cm",7.6; 9; 14,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/40283064/
,,,,,,,,,,,,,cowhide,,,http://www.ikea.com/us/en/catalog/products/40222933/,KOLDBY cowhide $199.00 Unit price,,199,http://www.ikea.com/PIAimages/0217307_PE373644_S3.JPG,"KOLDBY cowhide, brown Min. area: 32.29 sq feet Min. area: 3.00 m²",,,KOLDBY,199.0,,,Save to list,Min. area: 32.29 sq feet,32.29,Min. area: 3.00 m²,3,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/40222933/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S09000500/,More options,More options for HEMNES desk with add-on unit,,,$429.00 Unit price,429.0,desk with add-on unit,,,http://www.ikea.com/us/en/catalog/products/S09000500/,HEMNES desk with add-on unit $429.00 Unit price,,429,http://www.ikea.com/PIAimages/0199569_PE356641_S3.JPG,"HEMNES desk with add-on unit, black-brown Width: 61 "" Max. depth: 25 5/8 "" Height: 53 7/8 "" Width: 155 cm Max. depth: 65 cm Height: 137 cm",,,HEMNES,,,,Save to list,"Width: 61 "", Max. depth: 25 5/8 "", Height: 53 7/8 """,61; 25; 53,"Width: 155 cm, Max. depth: 65 cm, Height: 137 cm",155; 65; 137,,,desk,,,,http://www.ikea.com/us/en/catalog/products/S09000500/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S69023382/,More options,More options for BILLY /  MORLIDEN bookcase,,,,,bookcase,,,http://www.ikea.com/us/en/catalog/products/S69023382/,BILLY / MORLIDEN bookcase $189.99 Unit price,,189.99,http://www.ikea.com/PIAimages/0255425_PE399474_S3.JPG,"BILLY /  MORLIDEN bookcase, medium brown Width: 31 1/2 "" Depth: 11 "" Height: 79 1/2 "" Width: 80 cm Depth: 28 cm Height: 202 cm",,,BILLY / MORLIDEN,,189.99,,Save to list,"Width: 31 1/2 "", Depth: 11 "", Height: 79 1/2 """,31; 11; 79,"Width: 80 cm, Depth: 28 cm, Height: 202 cm",80; 28; 202,,,bookcase,,,Unit price,http://www.ikea.com/us/en/catalog/products/S69023382/
Buy online,,,,,,,,,,,,,chandelier,,,http://www.ikea.com/us/en/catalog/products/10228620/,STOCKHOLM chandelier $99.99 Unit price,,99.99,http://www.ikea.com/PIAimages/0204559_PE359633_S3.JPG,"STOCKHOLM chandelier Diameter: 20 "" Height: 28 "" Cord length: 4 ' 11 "" Diameter: 52 cm Height: 70 cm Cord length: 1.5 m",,,STOCKHOLM,99.99,,,Save to list,"Diameter: 20 "", Height: 28 "", Cord length: 4 ' 11 """,20; 28; 4; 11,"Diameter: 52 cm, Height: 70 cm, Cord length: 1.5 m",52; 70; 1.5,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/10228620/
