Time,anxbtc,cavirtex,coinbase,kraken,localbitcoins,mtgox,quadrigacx,wallofcoins
2013-09-27 00:00:00 UTC,,480.5388,,,63.8388,392.24983054,,
2013-09-28 00:00:00 UTC,,373.1283,,,19.8222,288.74361215,,
2013-09-29 00:00:00 UTC,,525.911,,,22.2003,435.39436554,,
2013-09-30 00:00:00 UTC,,684.2637,,,41.742517,102.64197799,,
2013-10-01 00:00:00 UTC,,153.5028,,,129.2345,235.72369845,,
2013-10-02 00:00:00 UTC,,2812.2847,,,36.5081,1129.96240857,,
2013-10-03 00:00:00 UTC,,905.0159,,,18.438781,263.30367135,,
2013-10-04 00:00:00 UTC,,674.5014,,,34.5601,34.62861367,,
2013-10-05 00:00:00 UTC,,198.7333,,,8.6593,82.92162651,,
2013-10-06 00:00:00 UTC,,87.283,,,13.2783,3.65909442,,
2013-10-07 00:00:00 UTC,,360.5905,,,78.9011102,151.60573067,,
2013-10-08 00:00:00 UTC,,244.2078,,,54.719,126.53844892,,
2013-10-09 00:00:00 UTC,,343.8901,,,105.4371,91.8136854,,
2013-10-10 00:00:00 UTC,,335.014,,,103.298,325.504898,,
2013-10-11 00:00:00 UTC,,533.8607,,,49.7005,130.75806285,,
2013-10-12 00:00:00 UTC,,510.216,,,48.07657568,341.71777668,,
2013-10-13 00:00:00 UTC,,499.9059,,,23.0541,172.70267841,,
2013-10-14 00:00:00 UTC,,1162.3935,,,22.8154,450.96555669,,
2013-10-15 00:00:00 UTC,,670.3151,,,87.4466,124.68381683,,
2013-10-16 00:00:00 UTC,,774.2551,,,99.9982,341.02121578,,
2013-10-17 00:00:00 UTC,,924.6622,,,39.2714,180.15568197,,
2013-10-18 00:00:00 UTC,,919.2461,,,74.6319,264.21935543,,
2013-10-19 00:00:00 UTC,,808.921,,,22.9236,491.57333423,,
2013-10-20 00:00:00 UTC,,259.1792,,,20.1558,89.44069418,,
2013-10-21 00:00:00 UTC,,979.6122,,,53.4616,159.85713996,,
2013-10-22 00:00:00 UTC,,1105.9595,,,29.36883186,232.97882674,,
2013-10-23 00:00:00 UTC,,1205.581,,,44.9296,517.03435892,,
2013-10-24 00:00:00 UTC,,1831.6673,,,34.7282,738.31502781,,
2013-10-25 00:00:00 UTC,,1001.9927,,,19.56892641,226.98977336,,
2013-10-26 00:00:00 UTC,,236.8144,,,17.1665,44.97958884,,
2013-10-27 00:00:00 UTC,,314.6703,,,7.0174,176.97061929,,
2013-10-28 00:00:00 UTC,,488.8442,,,11.3655,94.89518928,,
